 ,Basel,Basel,Basel,Basel
lat,47.75,47.75,47.75,47.75
lon,7.5,7.5,7.5,7.5
asl,363.653,363.653,363.653,363.653
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature ,Basel Relative Humidity ,Basel Wind Speed,Basel Wind Direction
20220109T1700,3.7902455,89.981,7.8954163,226.84761
20220109T1800,3.2002454,92.883934,6.297428,210.96376
20220109T1900,2.7602453,93.99543,6.4096174,218.15723
20220109T2000,2.4902453,94.72601,6.1094027,225
20220109T2100,2.2102454,95.74022,4.3349743,228.36647
20220109T2200,1.9402454,95.93388,5.3517847,227.72632
20220109T2300,1.6502454,99.73735,4.510787,241.38954
20220110T0000,1.8102454,99.52536,5.315336,241.69925
20220110T0100,1.7802454,98.17019,5.3517847,222.27368
20220110T0200,1.9202454,95.86355,4.5536795,251.56506
20220110T0300,2.1002455,95.527306,3.4152596,288.43497
20220110T0400,1.5902454,96.89371,2.2768397,341.56506
20220110T0500,1.4902453,96.88931,2.4149535,26.565033
20220110T0600,1.5902454,96.61344,4.0249224,10.30484
20220110T0700,1.8602453,96.97553,4.452954,14.03624
20220110T0800,1.7602454,97.463066,3.9763298,5.194412
20220110T0900,1.7302454,97.32111,3.319036,347.4712
20220110T1000,2.2502456,94.23408,6.162207,353.29016
20220110T1100,2.8002453,92.52085,6.8399997,360
20220110T1200,3.2602453,91.8932,6.379216,16.389526
20220110T1300,4.150245,84.20221,7.8954163,24.227737
20220110T1400,4.5902452,82.87953,9.085988,33.690063
20220110T1500,4.8302455,80.969826,9.290511,35.53766
20220110T1600,4.4402456,82.26345,7.10031,30.465546
20220110T1700,3.1802454,87.17457,6.130579,3.3664398
20220110T1800,2.0502453,90.86629,7.928178,357.39746
20220110T1900,1.3602455,91.53658,7.69592,10.7842865
20220110T2000,0.9102454,91.22982,8.39657,30.963745
20220110T2100,0.2502454,91.372574,7.8954163,43.15239
20220110T2200,-0.04975462,91.54854,6.618519,44.999985
